trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1562,False,"{'a': 0.2, 'e': 0.0019420716788202449}",20,13,12.825199951613786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1563,False,"{'a': 0.2, 'e': 0.0019343189079836613}",20,12,18.353749872719632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1564,False,"{'a': 0.2, 'e': 0.0019265970862908726}",20,14,10.593106693550984,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1565,False,"{'a': 0.2, 'e': 0.0019189060901925654}",20,12,16.036282076673036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1566,False,"{'a': 0.2, 'e': 0.0019112457966326377}",25,18,14.742045089822414,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1567,False,"{'a': 0.2, 'e': 0.0019036160830462263}",20,12,13.171397096559808,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1568,False,"{'a': 0.2, 'e': 0.0018960168273577573}",25,16,19.77059642225303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1569,False,"{'a': 0.2, 'e': 0.0018884479079789745}",20,14,10.142648659212147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1570,False,"{'a': 0.2, 'e': 0.0018809092038070045}",20,0,26.28828350725575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1571,False,"{'a': 0.2, 'e': 0.0018734005942224233}",20,13,12.189931663042108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1572,False,"{'a': 0.2, 'e': 0.001865921959087314}",25,17,15.382553104627272,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1573,False,"{'a': 0.2, 'e': 0.001858473178743356}",25,16,17.13671863991892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1574,False,"{'a': 0.2, 'e': 0.0018510541340099075}",20,12,14.506577762564179,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1575,False,"{'a': 0.2, 'e': 0.001843664706182092}",20,13,14.863924038157204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1576,False,"{'a': 0.2, 'e': 0.0018363047770289071}",20,5,23.908147244937595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1577,False,"{'a': 0.2, 'e': 0.0018289742287913259}",20,3,32.095115167277896,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1578,False,"{'a': 0.2, 'e': 0.0018216729441804269}",30,13,33.38715773061603,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1579,False,"{'a': 0.2, 'e': 0.0018144008063754968}",20,9,20.450204616592615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1580,False,"{'a': 0.2, 'e': 0.0018071576990221746}",20,0,27.74613603010561,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1581,False,"{'a': 0.2, 'e': 0.0017999435062305911}",20,0,27.881364710854765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
